Program,Week,Day,Order,Exercise,Sets,Reps,Tempo,Rest,RPE,Instruction
Hypertrophy A,1.0,7.0,2b,Chest Supported Row,3.0,12,2-1-3-0,90s,7.0,Squeeze at the top. Full stretch at the bottom. No momentum.
Hypertrophy A,1.0,7.0,3a,Dumbbell Chest Fly,3.0,12,3-1-2-0,0s,7.0,Slight bend in elbows. Deep stretch. Squeeze at the top.
Hypertrophy A,1.0,7.0,3b,Straight Arm Pulldown,3.0,12,3-1-2-0,60s,7.0,Keep arms straight. Feel the lats. Control throughout.
Hypertrophy A,1.0,7.0,4a,Incline Dumbbell Curl,3.0,12,3-1-2-0,0s,8.0,Incline bench. Full stretch at the bottom. Supinate at the top.
Hypertrophy A,1.0,7.0,4b,Skull Crusher,3.0,12,3-1-2-0,0s,8.0,Lower to forehead. Keep elbows in. Full extension at top.
Hypertrophy A,1.0,7.0,4c,Lateral Raise,3.0,15,2-1-2-0,60s,8.0,Burnout set. Light weight. Focus on the contraction.
Functional Body Composition,1.0,1.0,W1,Bent Over Band Pull Aparts,3.0,12,1-0-1-1,0s,5.0,Pause 1sec with hands wide on each rep
Functional Body Composition,1.0,1.0,W2,Drop Lunge to Knee Lift,3.0,10/leg,1-0-1-0,0s,5.0,1-3 inch range
Functional Body Composition,1.0,1.0,W3,Quadruped Shoulder Taps,3.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,1.0,1a,Back Rack Split Squat,3.0,8-10/leg,2-1-1-0,75s,7.0,Rear foot on 4-6 inch plates
Functional Body Composition,1.0,1.0,1b,Pronated Strict Pull Up,3.0,8-10,2-0-1-1,75s,7.0,
Functional Body Composition,1.0,1.0,2a,Cyclist Front Squat,3.0,8-10,3-1-X-0,75s,7.0,
Functional Body Composition,1.0,1.0,2b,Chainsaw Row,3.0,8-10/arm,2-0-X-2,75s,7.0,
Functional Body Composition,1.0,1.0,3,Muscle Endurance AMRAP,1.0,5min,0-0-0-0,2min,8.0,2-4-6-8-10-12 Renegade Rows 50/35lbs; 5 Cal Row between each set
Functional Body Composition,1.0,1.0,4,Muscle Endurance AMRAP,1.0,5min,0-0-0-0,2min,8.0,2-4-6-8-10-12 Strict Knees to Elbows; 5 Cal Bike between each set
Functional Body Composition,1.0,1.0,5,Muscle Endurance AMRAP,1.0,5min,0-0-0-0,0s,8.0,2-4-6-8-10-12 Alternating DB Thrusters 50/35lbs; 30 Double Unders between each set
Functional Body Composition,1.0,2.0,W1,Dumbbell Deadlifts,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,2.0,W2,Dumbbell Hang Power Clean,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,2.0,W3,Dumbbell Strict Press,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,2.0,W4,Yoga Push Ups,3.0,10,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,2.0,W5,Jump Rope Single Unders,3.0,50,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,2.0,1a,Segmented Clean Deadlift,3.0,6-8,3-1-3-1,75s,8.0,Use straps
Functional Body Composition,1.0,2.0,1b,Half Kneeling Barbell Press,3.0,4-5/knee,2-0-X-2,75s,7.0,8-10 total reps per set
Functional Body Composition,1.0,2.0,2a,Deficit Landmine Single Leg RDL,3.0,8-10/leg,3-0-1-0,75s,7.0,
Functional Body Composition,1.0,2.0,2b,Single Arm Dumbbell Push Press,3.0,8-10/arm,3-0-X-1,75s,7.0,Explosive up; 3sec controlled lowering
Functional Body Composition,1.0,2.0,3,For Time @ 85%,1.0,27-21-15,0-0-0-0,3min,8.0,Row Cals; 21-15-9 Strict HSPU (scale to Pike Strict HSPU)
Functional Body Composition,1.0,2.0,4,For Time,1.0,21-15-9,0-0-0-0,0s,8.0,Bike Cals; 27-21-15 GHD Sit Ups
Functional Body Composition,1.0,3.0,W1,Single Arm Bottoms Up KB Carry,3.0,10m/arm,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,3.0,W2,Scapular Push Ups,3.0,10,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,3.0,W3,Passive Ring Hang,3.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,3.0,W4,Band Pull Aparts,3.0,15,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,3.0,1a,Wide Grip Bench Press,3.0,10-12,3-1-X-0,75s,7.0,
Functional Body Composition,1.0,3.0,1b,Pendlay Row,3.0,10-12,3-0-X-1,75s,7.0,
Functional Body Composition,1.0,3.0,2a,Strict Bar Dips,3.0,10-12,2-0-2-0,75s,7.0,
Functional Body Composition,1.0,3.0,2b,Supinated Grip Body Row,3.0,12-14,3-0-X-0,75s,7.0,
Functional Body Composition,1.0,3.0,3,Consistent Effort 15min,1.0,15min,0-0-0-0,0s,7.0,20sec L Sit on Rings; 15m Quadruped Crawl Forwards/Backwards; 10 Dual KB Clean and Push Press 44/26lbs; 5 Strict C2B Pull Ups
Functional Body Composition,1.0,4.0,W1,Banded Hip Thrust + Isometric Hold,3.0,15+20sec,0-0-0-0,30s,5.0,
Functional Body Composition,1.0,4.0,W2,KB Loaded Jefferson Curl,3.0,8-10,0-0-0-0,30s,5.0,Light weight
Functional Body Composition,1.0,4.0,W3,High Knees Jump Rope,3.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,4.0,1a,Snatch Grip Romanian Deadlift,3.0,8-10,3-1-1-0,75s,7.0,
Functional Body Composition,1.0,4.0,1b,Suitcase Long Step Walking Lunge,3.0,14-16 steps,3-0-X-0,75s,7.0,
Functional Body Composition,1.0,4.0,2a,Barbell Hip Thrust,3.0,8-10,2-0-X-2,75s,7.0,
Functional Body Composition,1.0,4.0,2b,Goblet 1-1/4 Squat,3.0,8-10,2-1-1-1,75s,7.0,2sec lower; 1sec pause bottom; 1/4 squat and back down; rebound up; 1sec pause top
Functional Body Composition,1.0,4.0,3,Repeatable Pace E5M x 4,4.0,1 set,0-0-0-0,0s,8.0,45sec DB Farmers Carry tough weight; 15/12 Cal Assault Bike; 12 Supine Toes to Bar 3sec lowering; 9 Box Jump Step Down 30/24 inch
Functional Body Composition,1.0,5.0,W1,Yoga Push Up,3.0,8,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,5.0,W2,Prone Snow Angels,3.0,8,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,5.0,W3,Scapular Pull Ups,3.0,8,0-0-0-0,0s,5.0,
Functional Body Composition,1.0,5.0,W4,Side Plank Rotations,3.0,8/side,0-0-0-0,0s,5.0,Move slow and deliberately
Functional Body Composition,1.0,5.0,1a,Tall Kneeling Filly Press,3.0,8-10/arm,2-1-1-1,75s,7.0,
Functional Body Composition,1.0,5.0,1b,Close Grip Parallette Tricep Push Up,3.0,8-10,3-0-1-1,75s,7.0,
Functional Body Composition,1.0,5.0,1c,Incline Bench Dumbbell Bicep Curl,3.0,8-10,4-0-X-1,75s,7.0,
Functional Body Composition,1.0,5.0,2,Gymnastics Intervals,3.0,1 set,0-0-0-0,2-3min,8.0,10 Kipping Toes to Bar; 20 Anchored Feet Sit Ups; Assault Bike 750/650m @ 90%
Functional Body Composition,1.0,5.0,3,Not For Time,3.0,1 set,0-0-0-0,0s,6.0,20 Banded Tricep Push Downs; 20 Banded Bicep Curls; 20 Banded Face Pulls
Functional Body Composition,1.0,6.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Easy Active Recovery
Functional Body Composition,1.0,7.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Full Rest Day
Functional Body Composition,2.0,1.0,W1,Skater Band Walk,1.0,10m,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,1.0,W2,Theraband Goblet Squats,1.0,10,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,1.0,W3,Scap Pull Up,1.0,10,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,1.0,1a,Front Rack Drop Lunge,3.0,16-20 alt,3-0-X-0,75s,7.0,
Functional Body Composition,2.0,1.0,1b,Supinated Strict Pull Up,3.0,8-10,2-0-1-1,75s,7.0,
Functional Body Composition,2.0,1.0,2a,Dual KB Rack Squat,3.0,8-10,2-1-1-1,75s,7.0,
Functional Body Composition,2.0,1.0,2b,Incline Bench DB Prone Row,3.0,8-12,3-0-X-1,75s,7.0,
Functional Body Composition,2.0,1.0,3,Muscle Endurance AMRAP,1.0,7min,0-0-0-0,3min,8.0,5 Lunges/leg; 7 Box Jump Step Down; 9 Ring Rows
Functional Body Composition,2.0,1.0,4,Muscle Endurance AMRAP,1.0,7min,0-0-0-0,0s,8.0,5 Burpees; 7 Toes to Rings; 9 Air Squats
Functional Body Composition,2.0,2.0,W1,Dumbbell RDL,3.0,5,3-0-3-0,0s,5.0,
Functional Body Composition,2.0,2.0,W2,Single Arm Cuban Press,3.0,5/arm,0-0-0-0,0s,5.0,Slow
Functional Body Composition,2.0,2.0,W3,Burpee High Jump,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,2.0,W4,Row Acceleration,3.0,15sec,0-0-0-0,0s,5.0,Increase pace every 5sec
Functional Body Composition,2.0,2.0,1a,Segmented Snatch Grip Deadlift - 3 Pauses,3.0,6-8,3-1-3-1,75s,8.0,Use lifting straps
Functional Body Composition,2.0,2.0,1b,Barbell Z Press,3.0,8-10,3-0-2-1,75s,7.0,
Functional Body Composition,2.0,2.0,2a,Split Stance Dumbbell Romanian Deadlift,3.0,6-8/leg,3-1-1-0,75s,7.0,
Functional Body Composition,2.0,2.0,2b,Seated Alternating Dumbbell Arnold Press,3.0,8-10/arm,2-1-1-1,75s,7.0,
Functional Body Composition,2.0,2.0,3,Conditioning AMRAP,1.0,5min,0-0-0-0,2min,8.0,1-2-3-4-5-6 DB Bench Press 65/45lbs; 5 Cal Row between each set
Functional Body Composition,2.0,2.0,4,Conditioning AMRAP,1.0,5min,0-0-0-0,2min,8.0,1-2-3-4-5-6 Wall Walks; 20 Double Unders between each set
Functional Body Composition,2.0,2.0,5,Conditioning AMRAP,1.0,5min,0-0-0-0,0s,8.0,1-2-3-4-5-6 Strict Toes to Bar; 5 Cal Assault Bike between each set
Functional Body Composition,2.0,3.0,W1,Single Arm Turkish Sit Ups R,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,3.0,W2,Turkish Get Up R,3.0,1,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,3.0,W3,Single Arm KB Overhead Carry R,3.0,50ft,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,3.0,W4,Single Arm Turkish Sit Ups L,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,3.0,W5,Turkish Get Up L,3.0,1,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,3.0,W6,Single Arm KB Overhead Carry L,3.0,50ft,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,3.0,W7,Strict Pull Ups,3.0,3-5,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,3.0,1a,Incline Close Grip Bench Press,3.0,10-12,3-1-X-0,75s,7.0,
Functional Body Composition,2.0,3.0,1b,Single Arm DB Tripod Row,3.0,8-10/arm,2-0-X-2,75s,7.0,
Functional Body Composition,2.0,3.0,2a,Single Arm Dumbbell Bench Press,3.0,8-10/arm,3-1-X-0,75s,7.0,
Functional Body Composition,2.0,3.0,2b,Lean Away Strict Ring Pull Up,3.0,8-10,4-0-X-0,75s,7.0,
Functional Body Composition,2.0,3.0,3,Not For Time,4.0,1 round,0-0-0-0,0s,7.0,20 Elbow to Tall Plank; 30sec KB Farmers Walk 70/53; 10 Alt KB Gorilla Rows 70/53; 10 Hand Release Push Ups
Functional Body Composition,2.0,4.0,W1,Frog Pump + Isometric Contraction,3.0,20+20sec,0-0-0-0,30s,5.0,
Functional Body Composition,2.0,4.0,W2,Goblet Curtsy Step Down,3.0,8-10/leg,0-0-0-0,0s,5.0,Box height below knee
Functional Body Composition,2.0,4.0,1a,Frog Stance Deadlift,3.0,10-12,3-1-X-1,75s,7.0,
Functional Body Composition,2.0,4.0,1b,KB Rack Deficit Split Squat,3.0,8-10/leg,2-1-1-0,75s,7.0,
Functional Body Composition,2.0,4.0,2a,GHD Hip Extension,3.0,8-10,3-0-2-1,75s,7.0,
Functional Body Composition,2.0,4.0,2b,Goblet Cossack Squat,3.0,16-20 alt,3-0-X-0,75s,7.0,
Functional Body Composition,2.0,4.0,3,Repeatable Pace E10M x 2,2.0,1 set,0-0-0-0,0s,8.0,50 Double Unders; 500m Assault Bike; 40 Air Squats; 20 Alt DB Power Snatch 50/35lbs; 10 Burpee Box Jump Over 24/20 inch
Functional Body Composition,2.0,5.0,W1,Tall Plank Theraband Lateral Walk,3.0,20ft/side,0-0-0-0,0s,5.0,
Functional Body Composition,2.0,5.0,W2,Single Arm Trap 3 Raise w/ DB Isometric,3.0,10/arm,0-0-0-0,0s,5.0,Light slow
Functional Body Composition,2.0,5.0,W3,Scapular Ring Rows,3.0,10,0-0-0-0,0s,5.0,Pause 1sec at top
Functional Body Composition,2.0,5.0,1a,Farmers Press,3.0,8-10/arm,2-0-X-1,75s,7.0,
Functional Body Composition,2.0,5.0,1b,Decline Narrow Grip Bench Press,3.0,10-12,2-0-2-0,75s,7.0,
Functional Body Composition,2.0,5.0,1c,Alternating Dumbbell Curls,3.0,8-10/arm,3-0-X-1,75s,7.0,
Functional Body Composition,2.0,5.0,2,Interval Weight Training,3.0,1 set,0-0-0-0,2-3min,8.0,10 Renegade Rows 50/35lbs; Row 300/275m @ 90%
Functional Body Composition,2.0,5.0,3,Not For Time,3.0,1 set,0-0-0-0,0s,6.0,10-12 DB Upright Row @ 2121; 10-12 Ring Body Saw @ 3010; 10-12 Lying DB Tricep Extensions @ 30X1
Functional Body Composition,2.0,6.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Easy Active Recovery
Functional Body Composition,2.0,7.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Full Rest Day
Functional Body Composition,3.0,1.0,W1,Standing Band Pull Aparts,1.0,12,1-0-1-0,0s,5.0,Pause 1sec with hands wide on each rep
Functional Body Composition,3.0,1.0,W2,Russian Step Up,1.0,10/leg,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,1.0,W3,Tall Plank Shoulder Taps,1.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,1.0,1a,Back Rack Split Squat,3.0,8-10/leg,2-1-1-0,60s,7.0,Rear foot on 4-6 inch plates
Functional Body Composition,3.0,1.0,1b,Pronated Strict Pull Up,3.0,8-10,2-0-1-1,60s,7.0,
Functional Body Composition,3.0,1.0,2a,Cyclist Front Squat,3.0,8-10,3-1-X-0,60s,7.0,
Functional Body Composition,3.0,1.0,2b,Chainsaw Row,3.0,8-10/arm,2-0-X-2,60s,7.0,
Functional Body Composition,3.0,1.0,3,Muscle Endurance AMRAP,1.0,5min,0-0-0-0,2min,8.0,2-4-6-8-10-12 Alt KB Gorilla Rows 70/53lbs; 5 Cal Bike between each round
Functional Body Composition,3.0,1.0,4,Muscle Endurance AMRAP,1.0,5min,0-0-0-0,2min,8.0,2-4-6-8-10-12 Kipping Toes to Rings; 5 Burpees between each round
Functional Body Composition,3.0,1.0,5,Muscle Endurance AMRAP,1.0,5min,0-0-0-0,0s,8.0,2-4-6-8-10-12 Dual KB Hang Squat Cleans 53/35; 5 Cal Row between each round
Functional Body Composition,3.0,2.0,W1,Barbell Deadlifts,3.0,7,0-0-0-0,0s,5.0,Very light or empty bar
Functional Body Composition,3.0,2.0,W2,Barbell Hang Power Clean,3.0,7,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,2.0,W3,Barbell Strict Press,3.0,7,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,2.0,W4,Push Ups,3.0,10,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,2.0,W5,Jump Jacks,3.0,20,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,2.0,1a,Segmented Clean Deadlift,3.0,6-8,3-1-3-1,60s,8.0,Use straps
Functional Body Composition,3.0,2.0,1b,Half Kneeling Barbell Press,3.0,4-5/knee,2-0-X-2,60s,7.0,8-10 total reps per set
Functional Body Composition,3.0,2.0,2a,Deficit Landmine Single Leg RDL,3.0,8-10/leg,3-0-1-0,60s,7.0,
Functional Body Composition,3.0,2.0,2b,Single Arm Dumbbell Push Press,3.0,8-10/arm,3-0-X-1,60s,7.0,Explosive up; 3sec controlled lowering
Functional Body Composition,3.0,2.0,3,For Time @ 85%,1.0,15-21-27,0-0-0-0,3min,8.0,Bike Cals; 27-21-15 Strict Bar Dips (scale to Hand Release Push Ups)
Functional Body Composition,3.0,2.0,4,For Time,1.0,21-15-9,0-0-0-0,0s,8.0,Row Cals; 40-30-20 Anchored Feet Sit Ups
Functional Body Composition,3.0,3.0,W1,Dual Bottoms Up KB Rack Carry,3.0,20m,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,3.0,W2,Scapular Push Ups on Elbows,3.0,10,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,3.0,W3,Active Bar Hang,3.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,3.0,W4,Banded Face Pull,3.0,12,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,3.0,1a,Wide Grip Bench Press,3.0,10-12,3-1-X-0,60s,7.0,
Functional Body Composition,3.0,3.0,1b,Pendlay Row,3.0,10-12,3-0-X-1,60s,7.0,
Functional Body Composition,3.0,3.0,2a,Strict Bar Dips,3.0,10-12,2-0-2-0,60s,7.0,
Functional Body Composition,3.0,3.0,2b,Body Row,3.0,12-14,3-0-X-0,60s,7.0,
Functional Body Composition,3.0,3.0,3,Consistent Effort 15min,1.0,15min,0-0-0-0,0s,7.0,30sec Bent Hollow Hold; 3 Wall Walks; 6 Strict Pull Ups; 9 Ring Push Ups; 30sec Dual KB Rack Carry
Functional Body Composition,3.0,4.0,W1,Bodyweight Hip Thrust + Single Leg Isometric,3.0,20+10sec/leg,0-0-0-0,30s,5.0,
Functional Body Composition,3.0,4.0,W2,GHD Back Extensions,3.0,10,0-0-0-0,30s,5.0,
Functional Body Composition,3.0,4.0,W3,Hollow Body Hold,3.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,4.0,1a,Snatch Grip Romanian Deadlift,3.0,8-10,3-1-1-0,60s,7.0,
Functional Body Composition,3.0,4.0,1b,Suitcase Long Step Walking Lunge,3.0,14-16 steps,3-0-X-0,60s,7.0,
Functional Body Composition,3.0,4.0,2a,Barbell Hip Thrust,3.0,8-10,2-0-X-2,60s,7.0,
Functional Body Composition,3.0,4.0,2b,Goblet 1-1/4 Squat,3.0,8-10,2-1-1-1,60s,7.0,2sec lower; 1sec pause bottom; 1/4 squat and back down; rebound up; 1sec pause top
Functional Body Composition,3.0,4.0,3,Consistent Pace E5M x 4,4.0,1 set,0-0-0-0,0s,8.0,30sec Side Plank; 18/15 Cal Row; 12 KBS 70/53lbs; 6 Burpee Box Jumps 24/20 inch; 30sec Side Plank opposite side
Functional Body Composition,3.0,5.0,W1,Yoga Push Up,3.0,12,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,5.0,W2,Scapular Ring Row,3.0,12,0-0-0-0,0s,5.0,
Functional Body Composition,3.0,5.0,W3,Dumbbell Side Plank Rotations,3.0,8-10/side,0-0-0-0,0s,5.0,Move slow and deliberately
Functional Body Composition,3.0,5.0,1a,Tall Kneeling Filly Press,3.0,8-10/arm,2-1-1-1,60s,7.0,
Functional Body Composition,3.0,5.0,1b,Close Grip Parallette Tricep Push Up,3.0,8-10,3-0-1-1,60s,7.0,
Functional Body Composition,3.0,5.0,1c,Incline Bench Dumbbell Bicep Curl,3.0,8-10,4-0-X-1,60s,7.0,
Functional Body Composition,3.0,5.0,2,Gymnastics Intervals,3.0,1 set,0-0-0-0,2-3min,8.0,Row 200/150m @ 85%; 12-15 Toes to Rings unbroken; 15-18 Tuck Ups; Row 200/150m @ 95%
Functional Body Composition,3.0,5.0,3,For Quality,3.0,1 set,0-0-0-0,0s,6.0,20 Banded Push Ups; 10 DB Preacher Curl/arm; 20 Banded Upright Rows
Functional Body Composition,3.0,6.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Easy Active Recovery
Functional Body Composition,3.0,7.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Full Rest Day
Functional Body Composition,4.0,1.0,W1,Monster Band Walk,3.0,10m fwd/bwd,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,1.0,W2,Banded Goblet Squats,3.0,12,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,1.0,W3,Supine Band Lat Pull Over,3.0,12,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,1.0,1a,Front Rack Drop Lunge,3.0,16-20 alt,3-0-X-0,60s,7.0,
Functional Body Composition,4.0,1.0,1b,Supinated Strict Pull Up,3.0,8-10,2-0-1-1,60s,7.0,
Functional Body Composition,4.0,1.0,2a,Dual KB Rack Squat,3.0,8-10,2-1-1-1,60s,7.0,
Functional Body Composition,4.0,1.0,2b,Incline Bench Prone Row,3.0,8-12,3-0-X-1,60s,7.0,
Functional Body Composition,4.0,1.0,3,Muscle Endurance AMRAP,1.0,7min,0-0-0-0,3min,8.0,15 Double Unders; 10 Walking Lunges; 5 Renegade Rows 50/35lbs
Functional Body Composition,4.0,1.0,4,Muscle Endurance AMRAP,1.0,7min,0-0-0-0,0s,8.0,4 Burpee Pull Ups; 8 Wall Balls; 12 Sit Ups
Functional Body Composition,4.0,2.0,W1,Split Stance Dumbbell RDL,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,2.0,W2,Dual DB Bent Over Row to External Rotation,3.0,10,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,2.0,W3,Broad Jumps,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,2.0,W4,Bike Acceleration,3.0,15sec,0-0-0-0,0s,5.0,Increase pace every 5sec
Functional Body Composition,4.0,2.0,1a,Segmented Snatch Grip Deadlift - 3 Pauses,3.0,6-8,3-1-3-1,60s,8.0,Use lifting straps
Functional Body Composition,4.0,2.0,1b,Barbell Z Press,3.0,8-10,3-0-2-1,60s,7.0,
Functional Body Composition,4.0,2.0,2a,Split Stance Dumbbell Romanian Deadlift,3.0,6-8/leg,3-1-1-0,60s,7.0,
Functional Body Composition,4.0,2.0,2b,Seated Alternating Dumbbell Arnold Press,3.0,8-10/arm,2-1-1-1,60s,7.0,
Functional Body Composition,4.0,2.0,3,Conditioning AMRAP,1.0,5min,0-0-0-0,2min,8.0,1-2-3-4-5-6 Single Arm Incline DB Bench Press 60/40lbs R then L; 1 Turkish Get Up/arm between each set 60/40lbs
Functional Body Composition,4.0,2.0,4,Conditioning AMRAP,1.0,5min,0-0-0-0,2min,8.0,1-2-3-4-5-6 Wtd Strict Bar Dips 25/10lb DB between legs; 5 Cal Row between each set
Functional Body Composition,4.0,2.0,5,Conditioning AMRAP,1.0,5min,0-0-0-0,0s,8.0,1-2-3-4-5-6 L-Sit Lift Overs (tap feet each side = 1 rep); 5 Cal Bike between each set
Functional Body Composition,4.0,3.0,W1,Bottom Up Single Arm KB Press R,3.0,5,0-0-0-0,0s,5.0,
